round_end_reason,ct_equip_val,t_equip_val,type_buy_ct,type_buy_t,score_ct,score_t,bomb_plant
CTWin,0,0,Eco,Eco,0,0,False
,3250,3250,Eco,Eco,0,0,False
CTWin,1000,2000,Eco,Eco,1,0,False
CTWin,4300,4200,Eco,Eco,2,0,False
CTWin,21450,11000,Full Buy,Half Buy,3,0,False
CTWin,24750,3150,Full Buy,Eco,4,0,False
BombDefused,28550,24500,Full Buy,Full Buy,5,0,True
TargetBombed,30450,9700,Full Buy,Force Buy,5,1,True
TargetBombed,30150,26750,Full Buy,Full Buy,5,2,True
TargetBombed,19750,27450,Half Buy,Full Buy,5,3,True
CTWin,5550,27650,Force Buy,Full Buy,6,3,False
TargetBombed,23650,27750,Full Buy,Full Buy,6,4,True
TWin,29300,27450,Full Buy,Full Buy,6,5,True
TWin,5050,27350,Force Buy,Full Buy,6,6,True
TWin,27950,24750,Full Buy,Full Buy,6,7,True
TargetBombed,4300,4350,Eco,Eco,6,8,True
BombDefused,1900,19700,Eco,Half Buy,7,8,True
BombDefused,24250,20550,Full Buy,Full Buy,8,8,True
BombDefused,28750,19550,Full Buy,Half Buy,9,8,True
CTWin,29850,3550,Full Buy,Eco,10,8,False
TWin,30950,25300,Full Buy,Full Buy,10,9,True
BombDefused,28450,7300,Full Buy,Force Buy,11,9,True
BombDefused,29350,27850,Full Buy,Full Buy,12,9,True
TargetBombed,29850,21850,Full Buy,Full Buy,12,10,True
TWin,29850,20350,Full Buy,Full Buy,12,11,True
TWin,20150,19750,Full Buy,Half Buy,12,12,True
TargetBombed,11400,20150,Half Buy,Full Buy,12,13,True
CTWin,29250,27450,Full Buy,Full Buy,13,13,False
TWin,29800,27750,Full Buy,Full Buy,14,13,True
BombDefused,26000,31250,Full Buy,Full Buy,15,13,True
TWin,30050,27650,Full Buy,Full Buy,15,14,False
TWin,30850,27750,Full Buy,Full Buy,15,15,True
TargetBombed,31450,28350,Full Buy,Full Buy,15,16,True
TWin,30150,25100,Full Buy,Full Buy,15,17,True
CTWin,31100,27950,Full Buy,Full Buy,17,16,False
TargetBombed,26600,30600,Full Buy,Full Buy,17,17,True
CTWin,29700,27750,Full Buy,Full Buy,18,17,False
TWin,29650,27850,Full Buy,Full Buy,18,18,True
TargetBombed,30750,28150,Full Buy,Full Buy,18,19,True
TargetBombed,30200,27450,Full Buy,Full Buy,18,20,True
CTWin,29600,27950,Full Buy,Full Buy,20,19,False
TWin,28250,31150,Full Buy,Full Buy,20,20,True
TWin,28250,27650,Full Buy,Full Buy,20,21,False
TWin,30450,27950,Full Buy,Full Buy,20,22,False
CTWin,0,0,Eco,Eco,0,0,False
,3250,3250,Eco,Eco,0,0,False
TargetBombed,1000,5300,Eco,Force Buy,0,1,True
TargetBombed,4100,4350,Eco,Eco,0,2,True
TWin,12700,18550,Half Buy,Half Buy,0,3,True
TargetBombed,7900,22500,Force Buy,Full Buy,0,4,True
TWin,25950,24500,Full Buy,Full Buy,0,5,False
CTWin,17200,25600,Half Buy,Full Buy,1,5,False
TargetBombed,28650,26300,Full Buy,Full Buy,1,6,True
TargetBombed,29550,25400,Full Buy,Full Buy,1,7,True
TargetBombed,25650,27750,Full Buy,Full Buy,1,8,True
CTWin,25400,27650,Full Buy,Full Buy,2,8,False
TWin,27300,28050,Full Buy,Full Buy,2,9,True
CTWin,30500,27750,Full Buy,Full Buy,9,3,False
CTWin,28150,23200,Full Buy,Full Buy,10,3,False
TWin,4050,4300,Eco,Eco,10,4,True
TargetBombed,18800,10800,Half Buy,Half Buy,10,5,True
TWin,8800,22300,Force Buy,Full Buy,10,6,True
BombDefused,3900,24050,Eco,Full Buy,11,6,True
CTWin,22600,28050,Full Buy,Full Buy,12,6,False
TWin,27800,25400,Full Buy,Full Buy,12,7,True
BombDefused,30250,20850,Full Buy,Full Buy,13,7,True
TWin,0,0,Eco,Eco,0,0,False
,3250,3250,Eco,Eco,0,0,False
TWin,1000,1000,Eco,Eco,0,1,True
BombDefused,3300,4350,Eco,Eco,1,1,True
CTWin,11150,19750,Half Buy,Half Buy,2,1,False
CTWin,23650,11600,Full Buy,Half Buy,3,1,False
TargetBombed,26100,1000,Full Buy,Eco,3,2,True
